Title,Player,Card Number,Set,Manufacturer,Season,League,Features,Images,Market Avg (eBay 90d USD),Last Sold Raw (USD),Last Sold Raw Title,Last Sold Raw URL,Last Sold Raw Ended,Team,id,sport,year,set,subset,card_number,player,team,league,parallel,insert,rookie,autograph,serial_number,grade,condition,quantity,purchase_price,value,currency,notes,image,image_back,source,timestamp,Custom label (SKU),Notes
2023-24 Panini Select Premier League 200 Mario Lemina Red Ice,Mario Lemina,200,Panini Select Premier League,Panini,2023–24,Premier League,Red Ice,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-16_0002_Layer%2092.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0004_Layer%2040.jpg,,,,,,Wolverhampton Wanderers,c_10b8071f,,2023.0,Panini Select Premier League,,200,Mario Lemina,Wolverhampton Wanderers,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-16_0002_Layer%2092.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0004_Layer%2040.jpg,,2026-02-04T01:59:04.879Z,,
2024 Topps Finest MLS Prized Footballers Fusion #PFF10 Marco Reus Yellow/Red Insert,Marco Reus,PFF10,Topps Finest MLS,Topps,2023-24,MLS,Yellow/Red (Prized Footballers),https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-8_0006_Layer%2074.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-8_0001_Layer%2079.jpg,,,,,,LA Galaxy,c_77a976dc,,2023.0,Topps Finest MLS,,PFF10,Marco Reus,LA Galaxy,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-8_0006_Layer%2074.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-8_0001_Layer%2079.jpg,,2026-02-04T01:59:04.878Z,,
2022-23 Topps Merlin Chrome UEFA Club Competitions Merlin's Masters MM2 Mykhailo Mudryk,Mykhailo Mudryk,MM2,Topps Merlin,Topps,2022-23,UEFA Club Competitions,RC,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-58_0008_Layer%2060.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-58_0002_Layer%2066.jpg,,,,,,Chelsea,c_887000b,,2022.0,Topps Merlin,,MM2,Mykhailo Mudryk,Chelsea,UEFA Club Competitions,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-58_0008_Layer%2060.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-58_0002_Layer%2066.jpg,,2026-02-04T01:59:04.878Z,,
2023-24 Panini Select Premier League 199 Hee-Chan Hwang Pink Ice,Hee-Chan Hwang,199,Panini Select Premier League,Panini,2023–24,Premier League,Pink Ice,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-16_0004_Layer%2090.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-16-back_0004_Layer%2090.jpg,,,,,,Wolverhampton Wanderers,c_eb3c4b3e,,2023.0,Panini Select Premier League,,199,Hee-Chan Hwang,Wolverhampton Wanderers,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-16_0004_Layer%2090.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-16-back_0004_Layer%2090.jpg,,2026-02-04T01:59:04.879Z,,
2024 Finest MLS Marco Reus #PA9 Pop Art Insert,Marco Reus,PA9,2024 Topps Finest MLS,Topps,2024,UEFA,Pop Art,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/firstin%20_0014_Layer%2020.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/firstin%20_0012_Layer%2034.jpg,,,,,,Borussia Dortmund,c_9b50b77c,,2024.0,2024 Topps Finest MLS,,PA9,Marco Reus,Borussia Dortmund,UEFA,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/firstin%20_0014_Layer%2020.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/firstin%20_0012_Layer%2034.jpg,,2026-02-04T01:59:04.880Z,,
2023-24 Panini Select Premier League 250 Hee-Chan Hwang Red Ice,Hee-Chan Hwang,250,Panini Select Premier League,Panini,2023–24,Premier League,Red Ice,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-16_0003_Layer%2091.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-16-back_0003_Layer%2091.jpg,,,,,,Wolverhampton Wanderers,c_7f05e882,,2023.0,Panini Select Premier League,,250,Hee-Chan Hwang,Wolverhampton Wanderers,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-16_0003_Layer%2091.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-16-back_0003_Layer%2091.jpg,,2026-02-04T01:59:04.879Z,,
2024 Finest MLS Marco Reus #277 Oil Spill Refractor,Marco Reus,277,2024 Topps Finest MLS,Topps,2024,UEFA,Oil Spill Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/SCN20250517214949571%204.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/SCN20250517215126245%205.jpg,,,,,,Borussia Dortmund,c_b6b78712,,2024.0,2024 Topps Finest MLS,,277,Marco Reus,Borussia Dortmund,UEFA,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/SCN20250517215126245%205.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/SCN20250517214949571%204.jpg,,2026-02-04T01:59:04.879Z,,
2024 Finest MLS Houston Dynamo #TL15 Team Logo Patch,Houston Dynamo,TL15,2024 Topps Finest MLS,Topps,2024,MLS,Team Logo,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nexr_0009_Layer%2041.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nexr_0001_Layer%2049.jpg,,,,,,Houston Dynamo,c_97c90e7b,,2024.0,2024 Topps Finest MLS,,TL15,Houston Dynamo,Houston Dynamo,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nexr_0009_Layer%2041.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nexr_0001_Layer%2049.jpg,,2026-02-04T01:59:04.877Z,,
2024 Topps Finest MLS Hugo Cuypers,Hugo Cuypers,7,Topps Finest MLS,Topps,2024,MLS,Base,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18_0008_Layer%20148.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18_0002_Layer%20154.jpg,,,,,,Chicago Fire FC,c_935334e0,,2024.0,Topps Finest MLS,,7,Hugo Cuypers,Chicago Fire FC,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18_0008_Layer%20148.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18_0002_Layer%20154.jpg,,2026-02-04T01:59:04.879Z,,
2023-24 Topps Merlin UEFA Club Competitions Merlin's Chosen Ones MC6 Marc Guiu,Marc Guiu,MC6,Topps Merlin,Topps,2023-24,UEFA Club Competitions,RC,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-57_0010_Layer%2046.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-57_0004_Layer%2052.jpg,,,,,,Barcelona B,c_bacf50d9,,2023.0,Topps Merlin,,MC6,Marc Guiu,Barcelona B,UEFA Club Competitions,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-57_0010_Layer%2046.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-57_0004_Layer%2052.jpg,,2026-02-04T01:59:04.878Z,,
2023-24 Topps Merlin UEFA Club Competitions Merlin's Chosen Ones MC5 Ibrahim Osman,Ibrahim Osman,MC5,Topps Merlin,Topps,2023-24,UEFA Club Competitions,RC,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-57_0011_Layer%2045.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-57_0005_Layer%2051.jpg,,,,,,FC Nordsjælland,c_98efccdd,,2023.0,Topps Merlin,,MC5,Ibrahim Osman,FC Nordsjælland,UEFA Club Competitions,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-57_0011_Layer%2045.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-57_0005_Layer%2051.jpg,,2026-02-04T01:59:04.878Z,,
2022 UEFA Isak Bergmann Jóhannesson #189 Neon Green Foil,Isak Bergmann Johannesson,189,2022 Topps UEFA Club Competitions,Topps,2022,UEFA,Neon Green Foil,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-41_0000_Layer%206.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-42_0004_Layer%206.jpg,,,,,,Copenhagen,c_98a5e2ad,,2022.0,2022 Topps UEFA Club Competitions,,189,Isak Bergmann Johannesson,Copenhagen,UEFA,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-41_0000_Layer%206.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-42_0004_Layer%206.jpg,,2026-02-04T01:59:04.880Z,,
2024 Topps Finest MLS 249 Robin Lod Oil Spill Refractor,Robin Lod,249,Topps Finest MLS,Topps,2024,MLS,Oil Spill Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0007_Layer%20124.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0001_Layer%20130.jpg,,,,,,Minnesota United FC,c_4beba53d,,2024.0,Topps Finest MLS,,249,Robin Lod,Minnesota United FC,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0007_Layer%20124.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0001_Layer%20130.jpg,,2026-02-04T01:59:04.879Z,,
2023-24 Panini Select Premier League 220 Matheus Cunha Red Ice,Matheus Cunha,220,Panini Select Premier League,Panini,2023–24,Premier League,Red Ice,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0000_Layer%2088.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15-back_0000_Layer%2093.jpg,,,,,,Wolverhampton Wanderers,c_ae09e373,,2023.0,Panini Select Premier League,,220,Matheus Cunha,Wolverhampton Wanderers,Premier League,,,,,,,raw,2.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0000_Layer%2088.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15-back_0000_Layer%2093.jpg,,2026-02-04T01:59:04.877Z,,
2023-24 Panini Select Premier League 220 Matheus Cunha Camo,Matheus Cunha,220,Panini Select,Panini,2023-24,Premier League,Select,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0001_Layer%2087.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15-back_0001_Layer%2092.jpg,,,,,,Wolverhampton Wanderers,c_31c4fa60,,2023.0,Panini Select,,220,Matheus Cunha,Wolverhampton Wanderers,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0001_Layer%2087.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15-back_0001_Layer%2092.jpg,,2026-02-04T01:59:04.877Z,,
2024 Topps Finest MLS Finest Fabrics Relics #FFRP Riqui Puig Gold Refractor LA Galaxy,Riqui Puig,FFRP,Topps Finest MLS,Topps,2023-24,MLS,Gold Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Puig_Jersey_0000_Layer%201.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Puig_Jersey_0001_Layer%202.jpg,,,,,,LA Galaxy,c_c496186b,,2023.0,Topps Finest MLS,,FFRP,Riqui Puig,LA Galaxy,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Puig_Jersey_0000_Layer%201.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Puig_Jersey_0001_Layer%202.jpg,,2026-02-04T01:59:04.878Z,,
2023-24 Topps Chrome UEFA Club Competitions 1998 Topps Chrome Shooting Stars 98-7 Vitor Roque,Vitor Roque,98-7,Topps Chrome,Topps,2023-24,UEFA Club Competitions,RC,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0011_Layer%2037.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0005_Layer%2043.jpg,,,,,,Barcelona,c_81fce492,,2023.0,Topps Chrome,,98-7,Vitor Roque,Barcelona,UEFA Club Competitions,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0011_Layer%2037.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0005_Layer%2043.jpg,,2026-02-04T01:59:04.878Z,,
2022-23 Topps Merlin Chrome UEFA Club Competitions 13 Eddie Nketiah Refractor,Eddie Nketiah,13,2223 Topps Merlin Chrome UEFA Club Competitions,Topps,2022-23,Premier League,Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-24_0004_Layer%20132.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-24-back_0004_Layer%20133.jpg,,,,,,Arsenal,c_d63bc658,,2022.0,2223 Topps Merlin Chrome UEFA Club Competitions,,13,Eddie Nketiah,Arsenal,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-24_0004_Layer%20132.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-24-back_0004_Layer%20133.jpg,,2026-02-04T01:59:04.877Z,,
2024 Topps Finest MLS #123 Eduard Lowen Aqua Refractor St. Louis City,Eduard Lowen,123,Topps Finest MLS,Topps,2023-24,MLS,Aqua Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0008_Layer%2085.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0002_Layer%2091.jpg,,,,,,St. Louis City SC,c_8c4d496c,,2023.0,Topps Finest MLS,,123,Eduard Lowen,St. Louis City SC,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0008_Layer%2085.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0002_Layer%2091.jpg,,2026-02-04T01:59:04.879Z,,
2024 Topps Finest MLS CF Montreal Team Logo,Montreal,TL3,Topps Finest MLS,Topps,2024,MLS,Team Logo,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-21_0008_Layer%20173.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-21_0002_Layer%20179.jpg,,,,,,CF Montreal,c_57dd0ed0,,2024.0,Topps Finest MLS,,TL3,Montreal,CF Montreal,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-21_0008_Layer%20173.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-21_0002_Layer%20179.jpg,,2026-02-04T01:59:04.879Z,,
2024-25 Panini Donruss FIFA Emiliano Martinez Crunch Time,Emiliano Martinez,19,Panini Donruss FIFA,Panini,2024,FIFA,Crunch Time,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-19_0008_Layer%20160.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-19_0002_Layer%20166.jpg,,,,,,Argentina,c_db30e15f,,2024.0,Panini Donruss FIFA,,19,Emiliano Martinez,Argentina,FIFA,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-19_0008_Layer%20160.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-19_0002_Layer%20166.jpg,,2026-02-04T01:59:04.879Z,,
