id,sport,year,set,subset,card_number,player,team,league,parallel,insert,rookie,autograph,serial_number,grade,condition,quantity,purchase_price,value,currency,notes,image,image_back,source,timestamp
c_ccd133b2,,2024,Finest Pop Art,,2024,Marco Reus,,MLS,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/firstin%20_0014_Layer%2020.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/firstin%20_0012_Layer%2034.jpg,,2026-02-04T01:59:04.876Z
c_3a4e130,,2023,Select,,245,Marcus Rashford,,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-22_0002_Layer%20122.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-22-back_0002_Layer%20128.jpg,,2026-02-04T01:59:04.876Z
c_893268e2,,2023,Topps Merlin,,96,Bradley Barcola,Paris Saint-Germain,UEFA Club Competitions,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-60_0007_Layer%2074.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-60_0001_Layer%2080.jpg,,2026-02-04T01:59:04.876Z
c_76797293,,2023,Select,,227,Jhon Duran,,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-45_0007_Layer%205.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-45_0001_Layer%2011.jpg,,2026-02-04T01:59:04.876Z
c_6d897443,,2023,Select,,12,Jhon Duran,,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards_1_0000_Layer-1.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards_1_0005_Layer-10.png,,2026-02-04T01:59:04.876Z
c_c0136e7,,2023,Merlin,,27,Lamine Yamal,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0005_Layer-6.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0011_Layer-7.png,,2026-02-04T01:59:04.876Z
c_698484d2,,2022,Merlin Chrome,,104,Lionel Messi,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0008_Layer%204.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0008_Layer%204.jpg,,2026-02-04T01:59:04.876Z
c_ef93d5e3,,2023,Topps Chrome,,191,Julien Duranville,Borussia Dortmund,UEFA Club Competitions,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-8_0001_Layer%2035.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-8-back_0001_Layer%2041.jpg,,2026-02-04T01:59:04.876Z
c_d90f07b8,,2023,Topps Chrome,,UB12,Jude Bellingham,Real Madrid,Bundesliga,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/jude_bellingham_front.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/jude_bellingham.png,,2026-02-04T01:59:04.876Z
c_466d68a7,,2023,Topps Finest MLS,,1,Lionel Messi,Inter Miami CF,MLS,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-4_0002_Layer%204.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-5_0002_Layer%205.jpg,,2026-02-04T01:59:04.876Z
c_272f3e10,,2024,UEFA Club Competitions,,9,Erling Haaland,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-6_0003_Layer%2010.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-7_0003_Layer%2016.jpg,,2026-02-04T01:59:04.876Z
c_5c61f63,,2024,Donruss,,96,Erling Haaland,,FIFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-6_0000_Layer%2013.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-7_0000_Layer%2019.jpg,,2026-02-04T01:59:04.876Z
c_99562509,,2023,Select,,161,Erling Haaland,,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-29_0001_Layer%20141.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-12-back_0003_Layer%2071.jpg,,2026-02-04T01:59:04.876Z
c_9e262905,,2023,Select,,242,Erling Haaland,,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-29_0002_Layer%20140.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-29-BACK_0002_Layer%20146.jpg,,2026-02-04T01:59:04.876Z
c_d1efd4fc,,2023,Topps Merlin,,75,Jack Grealish,Manchester City,UEFA Club Competitions,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-56_0010_Layer%2034.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-56_0004_Layer%2040.jpg,,2026-02-04T01:59:04.876Z
c_29c432f2,,2024,Panini Donruss FIFA,,29,Alessandro Bastoni,Italy,FIFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-23_0012_Layer%20170.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-21_0005_Layer%20176.jpg,,2026-02-04T01:59:04.876Z
c_e1b14a8e,,2023,Topps Merlin,,200,Mario Lemina,VfB Stuttgart,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0010_Layer%2034.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0004_Layer%2040.jpg,,2026-02-04T01:59:04.876Z
c_7a65c03b,,2023,Topps Merlin,,MG23,Gabriel Jesus,Arsenal,UEFA Club Competitions,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0011_Layer%2033.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0005_Layer%2039.jpg,,2026-02-04T01:59:04.876Z
c_3c4f30f8,,2023,Select Select Stars,,13,Erling Haaland,,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-29_0000_Layer%20142.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-29-BACK_0000_Layer%20148.jpg,,2026-02-04T01:59:04.876Z
c_2bdd330e,,2024,Prizm Talismen,,1,Erling Haaland,,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/erling_0000_Layer-2.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/erling_0001_Layer-1.png,,2026-02-04T01:59:04.876Z
c_a7df9fc4,,2022,Merlin Chrome,,105,Kylian Mbappe,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0006_Layer%206.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0001_Layer%2011.jpg,,2026-02-04T01:59:04.876Z
c_4b4fe009,,2023,Chrome,,21,Kylian Mbappe,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0007_Layer%205.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0002_Layer%2010.jpg,,2026-02-04T01:59:04.876Z
c_1e191106,,2023,Merlin,,92,Kylian Mbappe,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0009_Layer%203.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0004_Layer%208.jpg,,2026-02-04T01:59:04.876Z
c_9ca010e4,,2024,Topps UEFA,,HC4,Lionel Messi,Inter Miami CF,MLS,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-6_0005_Layer%208.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-7_0005_Layer%2014.jpg,,2026-02-04T01:59:04.876Z
c_6c3feab1,,2024,Panini Donruss FIFA,,80,Lionel Messi,Argentina,FIFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18_0010_Layer%20146.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18_0004_Layer%20152.jpg,,2026-02-04T01:59:04.876Z
c_4ce58a6,,2023,Select,,35,Enzo Fernandez,,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-37_0005_Layer%2032.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-37-back_0005_Layer%2038.jpg,,2026-02-04T01:59:04.876Z
c_88eb112a,,2023,Donruss,,4,Enzo Fernandez,,FIFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards_1_0001_Layer-2.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards_1_0006_Layer-9.png,,2026-02-04T01:59:04.876Z
c_8b56beb8,,2024,Prizm Phenomenon,,2024,Enzo Fernandez,,Copa America,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0005_Layer%201.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1-back_0000_Layer%206.jpg,,2026-02-04T01:59:04.876Z
c_a566b1c6,,2023,Merlin,,78,Kobbie Mainoo,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-21_0003_Layer%20120.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-21-BACK_0003_Layer%20121.jpg,,2026-02-04T01:59:04.876Z
c_c0be4da0,,2023,Chrome,,97,Kobbie Mainoo,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-49_0008_Layer%2019.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-49_0002_Layer%2025.jpg,,2026-02-04T01:59:04.876Z
c_bc1f5bd9,,2023,Select,,70,Kobbie Mainoo,,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-22_0003_Layer%20121.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-22-back_0003_Layer%20127.jpg,,2026-02-04T01:59:04.876Z
c_3bf650d5,,2023,Select,,54,Alisson Becker,,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-34_0005_Layer%207.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-34-back_0005_Layer%2013.jpg,,2026-02-04T01:59:04.876Z
c_827a319a,,2023,Topps Merlin,,MN2,Kylian Mbappé,Paris Saint-Germain,UEFA Club Competitions,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-58_0007_Layer%2061.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-58_0001_Layer%2067.jpg,,2026-02-04T01:59:04.876Z
c_11d3cdcc,,2023,Select,,87,Guglielmo Vicario,,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18_0005_Layer%2092.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18-back_0005_Layer%2098.jpg,,2026-02-04T01:59:04.876Z
c_3bea90e8,,2023,Select Future,,17,Lewis Miley,,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-20_0004_Layer%20112.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-20-back_0004_Layer%20113.jpg,,2026-02-04T01:59:04.876Z
c_b2cdd85f,,2023,Prizm,,102,Ilya Zabarnyi,,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-40_0000_Layer%208.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-40-back_0000_Layer%208.jpg,,2026-02-04T01:59:04.876Z
c_e09a0166,,2023,Select,,9,Ethan Nwaneri,,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/firstin%20_0032_Layer%202.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/firstin%20_0026_Layer%208.jpg,,2026-02-04T01:59:04.876Z
c_374b5c16,,2022,Topps Merlin,,147,Enzo Fernández,Chelsea,UEFA Club Competitions,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-59_0006_Layer%2063.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-59_0000_Layer%2069.jpg,,2026-02-04T01:59:04.876Z
c_92490fdf,,2022,Merlin Chrome,,43,Arda Guler,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/firstin%20_0033_Layer%201.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/firstin%20_0027_Layer%207.jpg,,2026-02-04T01:59:04.876Z
c_83b1eae5,,2024,Panini Donruss FIFA,,21,Enzo Fernandez,Argentina,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-19_0006_Layer%20162.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-19_0000_Layer%20168.jpg,,2026-02-04T01:59:04.876Z
c_e546c64f,,2022,Merlin Chrome,,133,Desire Doue,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards_1_0004_Layer-5.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards_1_0009_Layer-6.png,,2026-02-04T01:59:04.876Z
c_988f9270,,2022,Merlin Chrome,,94,Julian Alvarez,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-30_0003_Layer%2012.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-30-back_0003_Layer%203.jpg,,2026-02-04T01:59:04.877Z
c_e5dbddb6,,2022,Topps Merlin,,8,Kobbie Mainoo,Manchester United,UEFA Club Competitions,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-53_0009_Layer%2033.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-53_0003_Layer%2039.jpg,,2026-02-04T01:59:04.877Z
c_bdc51ca9,,2022,Merlin Chrome,,100,Hugo Ekitike,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0004_Layer-5.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0010_Layer-8.png,,2026-02-04T01:59:04.877Z
c_8da6216d,,2022,Merlin Chrome,,103,Neymar Jr,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0011_Layer%201.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0000_Layer%2012.jpg,,2026-02-04T01:59:04.877Z
c_681fec06,,,Topps Finest MLS,,,Liel Abada,,MLS,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-4_0001_Layer%205.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-5_0001_Layer%206.jpg,,2026-02-04T01:59:04.877Z
c_2a9311e9,,,Topps Finest MLS,,,Kerwin Vargas,,MLS,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-12_0009_Layer%2097.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-12_0003_Layer%20103.jpg,,2026-02-04T01:59:04.877Z
c_280d4ced,,2023,Panini Select,,168,Rasmus Højlund,Manchester United,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/rasmus.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/rasmusback.png,,2026-02-04T01:59:04.877Z
c_ad72a2f0,,2023,Panini Select,,241,Phil Foden,Manchester City,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-59_0007_Layer%2062.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-59_0001_Layer%2068.jpg,,2026-02-04T01:59:04.877Z
c_15149f32,,2023,Panini Select,,144,Youssef Chermiti,Everton,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0008_Layer%2036.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0002_Layer%2042.jpg,,2026-02-04T01:59:04.877Z
c_5aee4f30,,,Topps Finest MLS,,,Iuri Tavares,,MLS,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled_set__0009_Layer%2014.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/tavares.png,,2026-02-04T01:59:04.877Z
c_7220b4c2,,2023,Topps Stadium Club Chrome UEFA,,SCWZ,Wilfried Zaha,Galatasaray A.S.,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-13_0011_Layer%20107.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-13_0005_Layer%20113.jpg,,2026-02-04T01:59:04.877Z
c_7d86d996,,2024,Topps Stadium Club Chrome UEFA,,FCKIL,Kang-in Lee,Paris Saint-Germain F.C.,Ligue 1,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-13_0009_Layer%20109.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-13_0003_Layer%20115.jpg,,2026-02-04T01:59:04.877Z
c_26f68dd,,2024,Topps Stadium Club Chrome UEFA,,51,Kang-in Lee,Paris Saint-Germain F.C.,Ligue 1,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-13_0010_Layer%20108.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-13_0004_Layer%20114.jpg,,2026-02-04T01:59:04.877Z
c_be8b1f30,,2023,Panini Select,,73,Lewis Miley,Manchester City,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/sportscards4_0007_Layer%2012.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/sportscards4_0001_Layer%2018.jpg,,2026-02-04T01:59:04.877Z
c_1a476e4e,,,Topps Finest MLS,,,Nimfasha Berchimas,,MLS,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled_set__0012_Layer%2011.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled_set__0017_Layer%206.jpg,,2026-02-04T01:59:04.877Z
c_e8ab5cc6,,2023,Panini Select,,50,Raúl Jiménez,Fulham,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0009_Layer%2035.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0003_Layer%2041.jpg,,2026-02-04T01:59:04.877Z
c_31c4fa60,,2023,Panini Select,,220,Matheus Cunha,Wolverhampton Wanderers,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0001_Layer%2087.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15-back_0001_Layer%2092.jpg,,2026-02-04T01:59:04.877Z
c_ae09e373,,2023,Panini Select Premier League,,220,Matheus Cunha,Wolverhampton Wanderers,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0000_Layer%2088.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15-back_0000_Layer%2093.jpg,,2026-02-04T01:59:04.877Z
